resnet18,resnet34,resnet50,resnet101,resnet152,densenet121,densenet169,densenet201,densenet161,squeezenet1_0,squeezenet1_1,vgg16,vgg16_bn,vgg19_bn,vgg19
13.164520263671875,22.237300872802734,35.46404838562012,57.5258731842041,81.37130737304688,51.11432075500488,67.79742240905762,80.83415031433105,88.29402923583984,18.011093139648438,35.738229751586914,53.31873893737793,62.71958351135254,73.06456565856934,61.6757869720459
13.200998306274414,22.290706634521484,35.48383712768555,57.54566192626953,81.36653900146484,51.072120666503906,67.1379566192627,80.19089698791504,88.41919898986816,17.92311668395996,35.7518196105957,53.36952209472656,62.98041343688965,72.6776123046875,61.837196350097656
13.165473937988281,22.225618362426758,35.45546531677246,57.478904724121094,81.41541481018066,51.04660987854004,66.81132316589355,80.14965057373047,88.41562271118164,17.913103103637695,35.72368621826172,53.04455757141113,62.96968460083008,72.50452041625977,61.8901252746582
13.15760612487793,22.30072021484375,35.45379638671875,57.49654769897461,81.36153221130371,51.13077163696289,66.86162948608398,80.14822006225586,88.36650848388672,17.915010452270508,35.79354286193848,53.28869819641113,63.118696212768555,72.76415824890137,61.97524070739746
13.16213607788086,22.269010543823242,35.50148010253906,57.46626853942871,81.33673667907715,51.18989944458008,66.70379638671875,80.46436309814453,88.41443061828613,17.877578735351562,35.77589988708496,53.10225486755371,62.99471855163574,72.76439666748047,61.86628341674805
13.148307800292969,22.31884002685547,35.47239303588867,57.51371383666992,81.40707015991211,51.081180572509766,66.71857833862305,80.22165298461914,88.44590187072754,17.873048782348633,35.77780723571777,53.18570137023926,63.079118728637695,72.66950607299805,61.960458755493164
13.170957565307617,22.233247756958008,35.47549247741699,57.50584602355957,81.35581016540527,51.15461349487305,66.89000129699707,80.23548126220703,88.39964866638184,17.854928970336914,35.837650299072266,53.37357521057129,63.07053565979004,72.83949851989746,61.85579299926758
13.154029846191406,22.248268127441406,35.46571731567383,57.39283561706543,81.43353462219238,51.08141899108887,66.8332576751709,80.3537368774414,88.38486671447754,17.815828323364258,35.69769859313965,53.06220054626465,63.1256103515625,72.69716262817383,61.87081336975098
13.164281845092773,22.281646728515625,35.42733192443848,57.45387077331543,81.3593864440918,51.19800567626953,66.87164306640625,80.24954795837402,88.33694458007812,17.971038818359375,35.768747329711914,53.03335189819336,63.25030326843262,72.8461742401123,61.84697151184082
13.141870498657227,22.246122360229492,35.445451736450195,57.55209922790527,81.37202262878418,51.09810829162598,66.64228439331055,80.1091194152832,88.43159675598145,17.78578758239746,35.83836555480957,53.14230918884277,63.16947937011719,72.92389869689941,61.9664192199707
13.173580169677734,22.248029708862305,35.47334671020508,57.42788314819336,81.27999305725098,51.042795181274414,66.7264461517334,80.20353317260742,88.34481239318848,17.872095108032227,35.6905460357666,53.20334434509277,63.100576400756836,72.70526885986328,61.92374229431152
13.186216354370117,22.233009338378906,35.449981689453125,57.569265365600586,81.34174346923828,50.9486198425293,66.96295738220215,80.16848564147949,88.37127685546875,17.882108688354492,35.75491905212402,53.220272064208984,62.97731399536133,72.75104522705078,61.93065643310547
13.211965560913086,22.294044494628906,35.45427322387695,57.58929252624512,81.32243156433105,51.06687545776367,66.65802001953125,80.11078834533691,88.39154243469238,17.90785789489746,35.73966026306152,52.960872650146484,62.998294830322266,72.77536392211914,61.9664192199707
13.151884078979492,22.23038673400879,35.4914665222168,57.50298500061035,81.41064643859863,51.34391784667969,67.08455085754395,80.0008773803711,88.43541145324707,17.841339111328125,35.78829765319824,53.246259689331055,63.0338191986084,72.7090835571289,61.90323829650879
13.184785842895508,22.223234176635742,35.466670989990234,57.50727653503418,81.4211368560791,51.276206970214844,66.93434715270996,80.18851280212402,88.41490745544434,17.827272415161133,35.71724891662598,53.15589904785156,63.005685806274414,72.7379322052002,61.75398826599121
13.183355331420898,22.296667098999023,35.4466438293457,57.52158164978027,81.3901424407959,51.11861228942871,66.75243377685547,80.45101165771484,88.39774131774902,17.867088317871094,35.73036193847656,53.000450134277344,63.06743621826172,72.69144058227539,61.91205978393555
13.216972351074219,22.20749855041504,35.49480438232422,57.51800537109375,81.4371109008789,51.18060111999512,66.864013671875,80.05380630493164,88.29689025878906,17.839431762695312,35.71796417236328,53.20334434509277,63.06195259094238,72.67189025878906,62.27588653564453
13.184785842895508,22.284269332885742,35.43210029602051,57.547569274902344,81.41279220581055,51.12791061401367,66.68543815612793,79.97417449951172,88.3946418762207,17.85588264465332,35.73298454284668,53.037405014038086,63.19761276245117,72.77512550354004,62.24370002746582
13.133764266967773,22.254228591918945,35.47358512878418,57.47032165527344,81.40254020690918,51.22685432434082,66.85686111450195,80.07049560546875,88.29593658447266,17.851591110229492,35.77065467834473,53.247928619384766,63.198089599609375,72.80373573303223,62.23344802856445
13.146638870239258,22.212743759155273,35.477638244628906,57.52873420715332,81.4828872680664,50.86946487426758,66.86735153198242,80.00993728637695,88.34433555603027,17.847537994384766,35.65669059753418,53.19380760192871,63.138723373413086,72.8158950805664,62.22867965698242
